"","sd2.lon","sd2.lat"
"397",-118.08599,34.70429
"398",-118.1167,36.5667
"399",-121.24999,40.2833
"400",-120.88488,37.06117
"401",-120.53678,34.66163
"402",-120.58761,37.65314
"403",-121.50002,39.19998
"404",-122.56431,37.92139
"405",-121.74068,36.89695
"406",-119.93499,36.77876
"407",-121.52284,37.37188
"408",-121.59612,40.34778
"409",-117.26885,34.50714
"410",-119.12014,37.95606
"411",-118.8667,37.6333
"412",-123.68968,39.03469
"413",-120.5167,41.45
"414",-121.87757,36.562
"415",-120.77668,35.29996
"416",-122.41415,41.53418
"417",-118.70449,34.08216
"418",-116.56246,34.03594
"419",-120.68851,37.23013
"420",-122.23301,37.81459
"421",-117.94527,33.67247
"422",-119.6448,37.33004
"423",-117.67757,33.71453
"424",-121.54992,39.5178
"425",-117.27957,33.19026
"426",-122.15589,37.40638
"427",-122.03063,38.48102
"428",-121.22883,36.50349
"429",-120.5167,35.8667
"430",-120.87663,36.6068
"431",-118.32792,33.77233
"432",-122.89014,38.1216
"433",-118.09127,34.11987
"434",-121.82189,39.19825
"435",-122.21167,40.20736
"436",-121.41747,38.35046
"437",-122.44585,40.61939
"438",-116.99987,34.1025
"439",-119.97132,37.48939
"440",-117.8833,35.3833
"441",-117.16277,33.00026
"442",-117.48885,33.90677
"443",-119.7627,34.4512
"444",-122.04986,37.01624
"445",-117.11699,32.64725
"446",-122.46889,37.71432
"447",-120.58331,34.8833
"448",-116.10307,33.51789
"449",-118.4167,33.36671
"450",-121.88209,37.40335
"451",-118.19013,35.69623
"452",-117.12391,33.87453
"453",-121.55,38.60001
"454",-120.33525,37.969
"455",-117.30103,34.08523
"456",-118.813,36.1338
"457",-118.77357,36.56492
"458",-122.71157,38.4379
"459",-115.61324,33.15789
"460",-121.39542,38.11603
"461",-117.60776,33.50957
"462",-118.50253,34.23577
"463",-120.36642,39.68343
"464",-122.5037,38.29311
"465",-118.4503,35.1097
"466",-118.67329,34.94631
"467",-121.53895,41.94652
"468",-118.96992,34.14894
"469",-124.0093,41.2094
"470",-123.16603,39.13862
"471",-119.19215,34.34845
"472",-120.9833,38.1167
"473",-123.6667,40.95001
"474",-123.03064,38.38525
"475",-119.66621,37.71656
"476",-122.52466,41.74947
"477",-105.65,39.75
"478",-105.5667,40.0167
"479",-105.5833,40.0167
"480",-105.15,40.4
"481",-104.8667,40.4833
"482",-108.95,40.8167
"483",-105.4,40.9
"484",-105.8,37.4333
"485",-104.7833,37.65
"486",-105.05,37.9833
"487",-105.5833,37.9833
"488",-107.75,38.1833
"489",-107.7333,38.7667
"490",-104.9121,39.0149
"491",-106.9,39.25001
"492",-104.65,39.1167
"493",-104.6955,39.9721
"494",-105.2725,40.02555
"495",-102.18451,39.63066
"496",-108.60924,37.41344
"497",-102.7167,40.8833
"498",-104.8167,38.8022
"499",-107.2,38.45
"500",-104.9622,39.37166
"501",-105.14304,39.58699
"502",-108.0394,38.77141
"503",-107.06631,39.73177
"504",-107.81191,37.20013
"505",-104.87527,39.73466
"506",-105.42637,39.67651
"507",-106.85103,39.5846
"508",-105.11407,40.6454
"509",-102.98693,39.29358
"510",-104.65,38.6333
"511",-105.93945,40.08611
"512",-108.60813,39.12082
"513",-108.0253,39.14628
"514",-104.68009,40.39356
"515",-105.58331,37.75
"516",-106.88556,38.60639
"517",-102.1833,38.0333
"518",-107.7646,38.76937
"519",-103.033,38.05801
"520",-104.92353,38.01318
"521",-105.1734,40.17406
"522",-105.16534,40.40772
"523",-107.86745,38.50024
"524",-106.04613,37.49697
"525",-104.70542,40.8341
"526",-105.144,38.3907
"527",-104.99149,38.92081
"528",-104.78569,38.23544
"529",-107.0257,37.24025
"530",-104.51958,38.17525
"531",-105.14307,40.86281
"532",-107.26244,39.45789
"533",-105.536,40.38196
"534",-103.67904,38.13259
"535",-106,38.5
"536",-103.2219,40.6966
"537",-105.04427,37.43075
"538",-106.84989,40.46191
"539",-106.05,39.5833
"540",-105.46736,38.13605
"541",-103.85682,40.34218
"542",-73.0833,41.1333
"543",-73.1,41.15
"544",-73.0333,41.3333
"545",-73.2667,41.5167
"546",-73.0167,41.5333
"547",-73.2333,41.7167
"548",-72.98838,41.91231
"549",-72.9495,41.6718
"550",-71.92744,41.79665
"551",-72.6828,41.1917
"552",-73.61382,41.08263
"553",-72.6727,41.76604
"554",-73.2724,41.77027
"555",-73.43987,41.94486
"556",-72.93228,41.30069
"557",-72.10067,41.32362
"558",-72.42703,41.29241
"559",-73.14106,41.39999
"560",-72.7273,41.47466
"561",-73.10987,41.17424
"562",-72.44849,41.55328
"563",-72.24968,41.81163
"564",-73.35799,41.16398
"565",-73.27908,41.53516
"566",-77.06853,38.86741
"567",-75.48216,39.21522
"568",-75.18775,38.80722
"569",-75.4275,38.95948
"570",-75.6347,39.4753
"571",-75.10727,38.60348
"572",-75.5739,38.58449
"573",-75.63989,39.74503
"574",-81,24.7333
"575",-81.3833,25.8833
"576",-82.2667,26.75
"577",-81.3167,26.8667
"578",-80.1167,27.0167
"579",-82.6167,27.4833
"580",-80.45,27.6833
"581",-80.5667,27.8667
"582",-80.5167,27.8833
"583",-81.1333,27.9
"584",-81.3667,27.9667
"585",-81.8667,28
"586",-82.1667,28.25
"587",-82.7,28.25
"588",-81.3833,28.5333
"589",-82.2833,28.7833
"590",-81.25,28.8
"591",-81.0333,29.2
"592",-81.2167,29.4
"593",-83.55,29.8
"594",-81.3,29.9333
"595",-82.5833,28.46669
"596",-85.07375,29.67485
"597",-82.33486,27.79203
"598",-81.31671,27.65008
"599",-82.56307,27.50104
"600",-85.67191,30.1851
"601",-80.24101,25.44515
"602",-81.5496,28.3753
"603",-82.32454,28.54795
"604",-81.72001,26.86998
"605",-81.269,25.861
"606",-86.51815,30.44617
"607",-80.95822,25.14099
"608",-85.83218,30.666
"609",-83.01489,29.19416
"610",-81.76505,28.54041
"611",-81.0029,28.52964
"612",-80.70256,28.36223
"613",-82.57756,28.87123
"614",-81.52167,26.3666
"615",-81.1167,29.24999
"616",-80.18832,25.84022
"617",-82.8722,24.6279
"618",-81.8667,26.3667
"619",-81.1467,28.70944
"620",-81.85008,28.84997
"621",-82.2374,28.31031
"622",-82.7789,27.6025
"623",-81.26498,29.49705
"624",-81.45348,26.14862
"625",-80.2191,26.13598
"626",-81.99056,26.55509
"627",-80.38276,27.41773
"628",-82.31275,29.60269
"629",-82.8128,27.497
"630",-82.7595,30.336
"631",-82.67853,29.93351
"632",-81.48773,30.4152
"633",-85.16121,30.89164
"634",-80.14689,26.99212
"635",-80.3175,25.6789
"636",-80.59809,25.00947
"637",-81.39363,28.20619
"638",-81.70464,24.58085
"639",-81.85067,28.02613
"640",-82.63713,30.18936
"641",-81.35,24.6667
"642",-80.71861,25.35677
"643",-81.3441,27.26012
"644",-84.98947,30.66334
"645",-81.51887,27.89392
"646",-85.2667,30.7167
"647",-81.99291,29.74797
"648",-80.68149,28.61708
"649",-82.23596,27.23301
"650",-81.28275,29.71536
"651",-81.76451,26.12775
"652",-82.73885,28.0672
"653",-82.69489,28.26043
"654",-81.73174,26.65101
"655",-84.3928,29.9908
"656",-87.3667,30.3333
"657",-87.15483,30.44739
"658",-81.00726,29.0623
"659",-82.04736,26.92427
"660",-85.29858,29.77031
"661",-80.5,25.4333
"662",-81.3162,29.9333
"663",-80.55,27.84861
"664",-82.15672,26.45936
"665",-84.22272,30.15359
"666",-80.91599,26.51601
"667",-82.67944,27.79913
"668",-82.49757,27.28407
"669",-80.26236,27.21211
"670",-82.45952,28.01069
"671",-84.23641,30.52905
"672",-81.62001,25.95
"673",-80.4167,27.6667
"674",-82.37929,27.00478
"675",-82.29443,29.109
"676",-80.12703,26.56721
"677",-81.36787,28.78626
"678",-81.30391,29.05428
"679",-81.60619,28.73094
"680",-83.7167,33.05
"681",-84.15,33.05
"682",-83.2333,33.0833
"683",-83.7167,33.1
"684",-84.15,33.65
"685",-83.3,33.7167
"686",-84.3833,33.75
"687",-83.3333,33.9167
"688",-85.15,34.2333
"689",-84.2167,30.8667
"690",-84.4167,31.43331
"691",-84.18204,34.51897
"692",-83.38123,33.93049
"693",-84.6667,33.9667
"694",-82.02386,33.43928
"695",-84.63151,30.88498
"696",-84.33941,34.87471
"697",-83.9667,34.8333
"698",-84.84374,32.82403
"699",-84.64738,34.87747
"700",-81.46726,30.81511
"701",-84.7917,34.5801
"702",-85.00044,32.58606
"703",-84.9667,34.76671
"704",-82.92389,32.62973
"705",-85.1805,34.2898
"706",-81.42611,31.1128
"707",-81.29401,31.68371
